x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
2,7,0.509,0.129,True,5.787,0.484,0.323,0.523,0.445,0.596,0.647,1,low,residential_low,False
3,7,0.638,0.129,True,4.797,0.547,0.364,0.437,0.465,0.512,0.595,1,low,residential_low,False
4,7,0.764,0.126,True,3.806,0.608,0.405,0.516,0.524,0.495,0.649,1,low,residential_low,False
5,7,0.883,0.119,True,2.815,0.67,0.444,0.563,0.575,0.465,0.682,2,medium,residential_medium,False
6,7,0.992,0.109,True,1.824,0.731,0.482,0.721,0.654,0.479,0.738,2,medium,residential_medium,False
7,7,1.086,0.094,True,0.833,0.791,0.517,0.708,0.688,0.426,0.71,2,medium,residential_medium,False
8,7,1.163,0.077,True,0.158,0.835,0.55,0.548,0.678,0.348,0.621,2,medium,residential_medium,False
9,7,1.221,0.076,True,1.148,0.798,0.58,0.327,0.615,0.271,0.52,2,medium,residential_medium,False
10,7,1.259,0.086,True,2.139,0.759,0.607,0.364,0.615,0.299,0.543,1,low,residential_low,False
11,7,1.276,0.094,True,3.13,0.719,0.629,0.52,0.642,0.374,0.624,1,low,residential_low,False
12,7,1.271,0.1,True,4.121,0.677,0.645,0.452,0.611,0.36,0.599,1,low,residential_low,False
13,7,1.248,0.105,True,5.112,0.633,0.655,0.432,0.589,0.366,0.598,2,medium,residential_medium,False
14,7,1.207,0.107,True,6.103,0.587,0.659,0.368,0.554,0.355,0.559,2,medium,residential_medium,False
15,7,1.152,0.107,True,6.402,0.571,0.655,0.321,0.534,0.342,0.528,1,low,residential_low,False
16,7,1.086,0.105,True,5.715,0.601,0.645,0.233,0.522,0.297,0.473,2,medium,residential_medium,False
17,7,1.012,0.1,True,5.029,0.628,0.629,0.286,0.543,0.309,0.507,2,medium,residential_medium,False
18,7,0.936,0.094,True,4.342,0.653,0.607,0.58,0.621,0.419,0.669,3,high,urban_high,False
19,7,0.859,0.085,True,3.655,0.677,0.58,0.59,0.626,0.415,0.671,3,high,urban_high,False
20,7,0.787,0.076,True,2.969,0.7,0.55,0.58,0.625,0.404,0.665,3,high,urban_high,False
21,7,0.721,0.066,True,2.282,0.721,0.517,0.563,0.62,0.39,0.655,3,high,urban_high,False
22,7,0.663,0.058,True,1.595,0.742,0.482,0.522,0.609,0.367,0.635,2,medium,residential_medium,False
23,7,0.615,0.048,True,0.909,0.762,0.444,0.538,0.611,0.396,0.648,1,low,residential_low,False
24,7,0.576,0.039,True,0.222,0.781,0.405,0.535,0.607,0.418,0.652,1,low,residential_low,False
25,7,0.546,0.03,True,0.464,0.755,0.364,0.523,0.58,0.451,0.661,1,low,residential_low,False
26,7,0.522,0.024,True,1.151,0.707,0.323,0.507,0.542,0.489,0.649,1,low,residential_low,False
27,7,0.502,0.02,True,1.838,0.66,0.28,0.624,0.537,0.58,0.722,1,low,residential_low,False
28,7,0.483,0.019,True,2.524,0.611,0.237,0.661,0.511,0.64,0.743,1,low,residential_low,False
29,7,0.464,0.019,True,3.211,0.563,0.193,0.625,0.467,0.67,0.718,1,low,residential_low,False
0,8,0.243,0.13,True,7.904,0.359,0.257,0.596,0.388,0.724,0.689,0,none,forest,False
1,8,0.373,0.136,True,6.913,0.423,0.302,0.529,0.413,0.647,0.65,0,none,forest,False
2,8,0.509,0.139,True,5.922,0.486,0.346,0.452,0.435,0.567,0.604,1,low,residential_low,False
3,8,0.648,0.139,True,4.932,0.549,0.389,0.463,0.479,0.522,0.614,1,low,residential_low,False
4,8,0.784,0.136,True,3.941,0.611,0.431,0.49,0.527,0.484,0.635,2,medium,residential_medium,False
5,8,0.913,0.129,True,2.95,0.673,0.473,0.501,0.57,0.439,0.645,2,medium,residential_medium,False
6,8,1.033,0.12,True,1.959,0.735,0.512,0.685,0.656,0.464,0.717,3,high,urban_high,False
7,8,1.138,0.105,True,0.968,0.796,0.55,0.715,0.702,0.427,0.71,3,high,urban_high,False
8,8,1.226,0.088,True,0.023,0.854,0.586,0.658,0.725,0.357,0.661,3,high,urban_high,False
